Time,EngineCoolantTemperature,IntakeManifoldAbsolutePressure,EngineRPM,VehicleSpeedSensor,IntakeAirTemperature,AirFlowRatefromMassFlowSensor,AbsoluteThrottlePosition,AmbientAirTemperature,AcceleratorPedalPositionD,AcceleratorPedalPositionE
07:22:25.660,31,,,,,,,,,
07:22:25.721,31,96,,,,,,,,
07:22:25.812,31,96,0,,,,,,,
07:22:25.871,31,96,0,0,,,,,,
07:22:25.961,31,96,0,0,22,,,,,
07:22:26.021,31,96,0,0,22,0.91,,,,
07:22:26.111,31,96,0,0,22,0.91,89,,,
07:22:26.171,31,96,0,0,22,0.91,89,22,,
07:22:26.261,31,96,0,0,22,0.91,89,22,14.1,
07:22:26.321,31,96,0,0,22,0.91,89,22,14.1,14.5
07:22:26.411,31,96,0,0,22,0.91,89,22,14.1,14.5
07:22:26.471,31,96,0,0,22,0.91,89,22,14.1,14.5
07:22:26.564,31,96,0,0,22,0.91,89,22,14.1,14.5
07:22:26.622,31,96,0,0,22,0.91,89,22,14.1,14.5
07:22:26.711,31,96,0,0,22,0.91,89,22,14.1,14.5
07:22:26.771,31,96,0,0,22,0.91,89,22,14.1,14.5
07:22:26.861,31,96,0,0,22,0.91,89,22,14.1,14.5
07:22:26.951,31,96,0,0,22,0.91,89,22,14.1,14.5
07:22:27.011,31,96,0,0,22,0.91,89,22,14.1,14.5
07:22:27.072,31,96,0,0,22,0.91,89,22,14.1,14.5
07:22:27.161,31,96,0,0,22,0.91,89,22,14.1,14.5
07:22:27.221,31,96,0,0,22,0.91,89,22,14.1,14.5
07:22:27.311,31,96,0,0,22,0.91,89,22,14.1,14.5
07:22:27.372,31,96,0,0,22,0.91,89,22,14.1,14.5
07:22:27.461,31,96,0,0,22,0.91,89,22,14.1,14.5
07:22:27.521,31,96,0,0,22,0.91,89,22,14.1,14.5
07:22:27.611,31,96,0,0,22,0.91,89,22,14.1,14.5
07:22:27.671,31,96,0,0,22,0.91,89,22,14.1,14.5
07:22:27.761,31,96,0,0,22,0.91,89,22,14.5,14.5
07:22:27.821,31,96,0,0,22,0.91,89,22,14.5,14.5
07:22:27.911,31,96,0,0,22,0.91,89,22,14.5,14.5
07:22:27.972,31,95,0,0,22,0.91,89,22,14.5,14.5
07:22:28.061,31,95,207,0,22,0.91,89,22,14.5,14.5
07:22:28.122,31,95,207,0,22,0.91,89,22,14.5,14.5
07:22:28.211,31,95,207,0,22,0.91,89,22,14.5,14.5
07:22:28.271,31,95,207,0,22,14.16,89,22,14.5,14.5
07:22:28.361,31,95,207,0,22,14.16,82.7,22,14.5,14.5
07:22:28.421,31,95,207,0,22,14.16,82.7,22,14.5,14.5
07:22:28.511,31,95,207,0,22,14.16,82.7,22,14.1,14.5
07:22:28.572,31,95,207,0,22,14.16,82.7,22,14.1,14.5
07:22:28.661,31,95,207,0,22,14.16,82.7,22,14.1,14.5
07:22:28.751,31,94,207,0,22,14.16,82.7,22,14.1,14.5
07:22:28.841,31,94,989,0,22,14.16,82.7,22,14.1,14.5
07:22:28.930,31,94,989,0,22,14.16,82.7,22,14.1,14.5
07:22:29.050,31,94,989,0,31,14.16,82.7,22,14.1,14.5
07:22:29.141,31,94,989,0,31,9.69,82.7,22,14.1,14.5
07:22:29.231,31,94,989,0,31,9.69,83.1,22,14.1,14.5
07:22:29.321,31,94,989,0,31,9.69,83.1,22,14.1,14.5
07:22:29.410,31,94,989,0,31,9.69,83.1,22,14.5,14.5
07:22:29.501,31,94,989,0,31,9.69,83.1,22,14.5,14.5
07:22:29.590,31,94,989,0,31,9.69,83.1,22,14.5,14.5
07:22:29.681,31,96,989,0,31,9.69,83.1,22,14.5,14.5
07:22:29.771,31,96,883,0,31,9.69,83.1,22,14.5,14.5
07:22:29.861,31,96,883,0,31,9.69,83.1,22,14.5,14.5
07:22:29.950,31,96,883,0,35,9.69,83.1,22,14.5,14.5
07:22:30.040,31,96,883,0,35,8.63,83.1,22,14.5,14.5
07:22:30.130,31,96,883,0,35,8.63,83.1,22,14.5,14.5
07:22:30.220,31,96,883,0,35,8.63,83.1,22,14.5,14.5
07:22:30.311,31,96,883,0,35,8.63,83.1,22,14.5,14.5
07:22:30.402,31,96,883,0,35,8.63,83.1,22,14.5,14.5
07:22:30.491,31,96,883,0,35,8.63,83.1,22,14.5,14.5
07:22:30.586,31,96,883,0,35,8.63,83.1,22,14.5,14.5
07:22:30.671,31,96,933,0,35,8.63,83.1,22,14.5,14.5
07:22:30.761,31,96,933,0,35,8.63,83.1,22,14.5,14.5
07:22:30.851,31,96,933,0,34,8.63,83.1,22,14.5,14.5
07:22:30.971,31,96,933,0,34,9.94,83.1,22,14.5,14.5
07:22:31.061,31,96,933,0,34,9.94,83.1,22,14.5,14.5
07:22:31.181,31,96,933,0,34,9.94,83.1,22,14.5,14.5
07:22:31.271,31,96,933,0,34,9.94,83.1,22,14.5,14.5
07:22:31.361,31,96,933,0,34,9.94,83.1,22,14.5,14.5
07:22:31.452,31,96,933,0,34,9.94,83.1,22,14.5,14.5
07:22:31.541,31,96,933,0,34,9.94,83.1,22,14.5,14.5
07:22:31.631,31,96,910,0,34,9.94,83.1,22,14.5,14.5
07:22:31.722,31,96,910,1,34,9.94,83.1,22,14.5,14.5
07:22:31.811,31,96,910,1,34,9.94,83.1,22,14.5,14.5
07:22:31.901,31,96,910,1,34,10.02,83.1,22,14.5,14.5
07:22:31.991,31,96,910,1,34,10.02,83.1,22,14.5,14.5
07:22:32.081,31,96,910,1,34,10.02,83.1,22,14.5,14.5
07:22:32.171,31,96,910,1,34,10.02,83.1,22,14.5,14.5
07:22:32.261,31,96,910,1,34,10.02,83.1,22,14.5,14.5
07:22:32.350,31,96,910,1,34,10.02,83.1,22,14.5,14.5
07:22:32.441,31,96,910,1,34,10.02,83.1,22,14.5,14.5
07:22:32.531,31,96,907,1,34,10.02,83.1,22,14.5,14.5
07:22:32.621,31,96,907,2,34,10.02,83.1,22,14.5,14.5
07:22:32.711,31,96,907,2,33,10.02,83.1,22,14.5,14.5
07:22:32.801,31,96,907,2,33,10.36,83.1,22,14.5,14.5
07:22:32.891,31,96,907,2,33,10.36,83.1,22,14.5,14.5
07:22:32.981,31,96,907,2,33,10.36,83.1,22,14.5,14.5
07:22:33.071,31,96,907,2,33,10.36,83.1,22,14.5,14.5
07:22:33.162,31,96,907,2,33,10.36,83.1,22,14.5,14.5
07:22:33.251,31,96,907,2,33,10.36,83.1,22,14.5,14.5
07:22:33.341,31,97,907,2,33,10.36,83.1,22,14.5,14.5
07:22:33.431,31,97,911,2,33,10.36,83.1,22,14.5,14.5
07:22:33.521,31,97,911,4,33,10.36,83.1,22,14.5,14.5
07:22:33.611,31,97,911,4,33,10.36,83.1,22,14.5,14.5
07:22:33.701,31,97,911,4,33,11.11,83.1,22,14.5,14.5
07:22:33.791,31,97,911,4,33,11.11,83.1,22,14.5,14.5
07:22:33.881,31,97,911,4,33,11.11,83.1,22,14.5,14.5
07:22:33.971,31,97,911,4,33,11.11,83.1,22,14.1,14.5
07:22:34.061,31,97,911,4,33,11.11,83.1,22,14.1,14.1
07:22:34.152,31,97,911,4,33,11.11,83.1,22,14.1,14.1
07:22:34.241,31,97,911,4,33,11.11,83.1,22,14.1,14.1
07:22:34.331,31,97,1015,4,33,11.11,83.1,22,14.1,14.1
07:22:34.421,31,97,1015,5,33,11.11,83.1,22,14.1,14.1
07:22:34.511,31,97,1015,5,33,11.11,83.1,22,14.1,14.1
07:22:34.601,31,97,1015,5,33,10.3,83.1,22,14.1,14.1
07:22:34.690,31,97,1015,5,33,10.3,83.1,22,14.1,14.1
07:22:34.780,31,97,1015,5,33,10.3,83.1,22,14.1,14.1
07:22:34.871,31,97,1015,5,33,10.3,83.1,22,14.1,14.1
07:22:34.961,31,97,1015,5,33,10.3,83.1,22,14.1,14.5
07:22:35.051,31,97,1015,5,33,10.3,83.1,22,14.1,14.5
07:22:35.141,31,98,1015,5,33,10.3,83.1,22,14.1,14.5
07:22:35.231,31,98,930,5,33,10.3,83.1,22,14.1,14.5
07:22:35.352,31,98,930,4,33,10.3,83.1,22,14.1,14.5
07:22:35.441,31,98,930,4,32,10.3,83.1,22,14.1,14.5
07:22:35.561,31,98,930,4,32,9.52,83.1,22,14.1,14.5
07:22:35.651,31,98,930,4,32,9.52,83.1,22,14.1,14.5
07:22:35.741,31,98,930,4,32,9.52,83.1,22,14.1,14.5
07:22:35.831,31,98,930,4,32,9.52,83.1,22,14.1,14.5
07:22:35.922,31,98,930,4,32,9.52,83.1,22,14.1,14.5
07:22:36.011,31,98,930,4,32,9.52,83.1,22,14.1,14.5
07:22:36.101,31,98,930,4,32,9.52,83.1,22,14.1,14.5
07:22:36.191,31,98,886,4,32,9.52,83.1,22,14.1,14.5
07:22:36.280,31,98,886,2,32,9.52,83.1,22,14.1,14.5
07:22:36.370,31,98,886,2,31,9.52,83.1,22,14.1,14.5
07:22:36.461,31,98,886,2,31,8.86,83.1,22,14.1,14.5
07:22:36.550,31,98,886,2,31,8.86,83.1,22,14.1,14.5
07:22:36.641,31,98,886,2,31,8.86,83.1,22,14.1,14.5
07:22:36.732,31,98,886,2,31,8.86,83.1,22,15.3,14.5
07:22:36.820,31,98,886,2,31,8.86,83.1,22,15.3,14.9
07:22:36.910,31,98,886,2,31,8.86,83.1,22,15.3,14.9
07:22:37.002,31,98,886,2,31,8.86,83.1,22,15.3,14.9
07:22:37.093,31,98,898,2,31,8.86,83.1,22,15.3,14.9
07:22:37.181,31,98,898,2,31,8.86,83.1,22,15.3,14.9
07:22:37.271,31,98,898,2,30,8.86,83.1,22,15.3,14.9
07:22:37.361,31,98,898,2,30,10.3,83.1,22,15.3,14.9
07:22:37.451,31,98,898,2,30,10.3,83.1,22,15.3,14.9
