Time,EngineCoolantTemperature,IntakeManifoldAbsolutePressure,EngineRPM,VehicleSpeedSensor,IntakeAirTemperature,AirFlowRatefromMassFlowSensor,AbsoluteThrottlePosition,AmbientAirTemperature,AcceleratorPedalPositionD,AcceleratorPedalPositionE
17:35:01.602,33,,,,,,,,,
17:35:01.652,33,99,,,,,,,,
17:35:01.741,33,99,0,,,,,,,
17:35:01.831,33,99,0,0,,,,,,
17:35:01.921,33,99,0,0,23,,,,,
17:35:02.012,33,99,0,0,23,0.91,,,,
17:35:02.102,33,99,0,0,23,0.91,89,,,
17:35:02.194,33,99,0,0,23,0.91,89,22,,
17:35:02.254,33,99,0,0,23,0.91,89,22,14.1,
17:35:02.342,33,99,0,0,23,0.91,89,22,14.1,14.5
17:35:02.406,33,99,0,0,23,0.91,89,22,14.1,14.5
17:35:02.493,33,99,0,0,23,0.91,89,22,14.1,14.5
17:35:02.584,33,99,0,0,23,0.91,89,22,14.1,14.5
17:35:02.689,33,99,0,0,23,0.91,89,22,14.1,14.5
17:35:02.762,33,99,0,0,23,0.91,89,22,14.1,14.5
17:35:02.852,33,99,0,0,23,0.91,89,22,14.1,14.5
17:35:02.942,33,99,0,0,23,0.91,89,22,14.1,14.5
17:35:03.004,33,99,0,0,23,0.91,89,22,14.1,14.5
17:35:03.092,33,99,0,0,23,0.91,89,22,14.1,14.5
17:35:03.161,33,99,0,0,23,0.91,89,22,14.1,14.5
17:35:03.242,33,99,0,0,23,0.91,89,22,14.1,14.5
17:35:03.303,33,99,0,0,23,0.91,89,22,14.1,14.5
17:35:03.392,33,99,0,0,23,0.91,89,22,14.1,14.5
17:35:03.455,33,99,0,0,23,0.91,89,22,14.1,14.5
17:35:03.542,33,99,0,0,23,0.91,89,22,14.1,14.5
17:35:03.602,33,99,0,0,23,0.91,89,22,14.1,14.5
17:35:03.692,33,99,0,0,23,0.91,89,22,14.1,14.5
17:35:03.785,33,99,0,0,23,0.91,89,22,14.1,14.5
17:35:03.872,33,99,0,0,23,0.91,89,22,14.1,14.5
17:35:03.962,33,99,0,0,23,0.91,89,22,14.1,14.5
17:35:04.052,33,99,0,0,23,0.91,89,22,14.1,14.5
17:35:04.142,33,99,0,0,23,0.91,89,22,14.1,14.5
17:35:04.203,33,99,0,0,23,0.91,89,22,14.1,14.5
17:35:04.291,33,99,0,0,23,0.91,89,22,14.1,14.5
17:35:04.353,33,99,0,0,23,0.91,89,22,14.1,14.5
17:35:04.442,33,99,0,0,23,0.91,89,22,14.1,14.5
17:35:04.503,33,99,0,0,23,0.91,89,22,14.1,14.5
17:35:04.592,33,99,0,0,23,0.91,89,22,14.1,14.5
17:35:04.652,33,99,0,0,23,0.91,89,22,14.1,14.5
17:35:04.742,33,99,0,0,23,0.91,89,22,14.1,14.5
17:35:04.803,33,99,0,0,23,0.91,89,22,14.1,14.5
17:35:04.893,33,99,0,0,23,0.91,89,22,14.1,14.5
17:35:04.982,33,99,0,0,23,0.91,89,22,14.1,14.5
17:35:05.073,33,99,0,0,23,0.91,89,22,14.1,14.5
17:35:05.162,33,99,0,0,23,0.91,89,22,14.1,14.5
17:35:05.252,33,99,0,0,23,0.91,89,22,14.1,14.5
17:35:05.343,33,99,0,0,23,0.91,89,22,14.1,14.5
17:35:05.403,33,99,0,0,23,0.91,89,22,14.1,14.5
17:35:05.492,33,99,0,0,23,0.91,89,22,14.1,14.5
17:35:05.553,33,99,0,0,23,0.91,89,22,14.1,14.5
17:35:05.641,33,99,0,0,23,0.91,89,22,14.1,14.5
17:35:05.703,33,99,0,0,23,0.91,89,22,14.1,14.5
17:35:05.792,33,99,0,0,23,0.91,89,22,14.1,14.5
17:35:05.854,33,99,0,0,23,0.91,89,22,14.1,14.5
17:35:05.942,33,99,0,0,23,0.91,89,22,14.1,14.5
17:35:06.002,33,99,0,0,23,0.91,89,22,14.1,14.5
17:35:06.092,33,99,0,0,23,0.91,89,22,14.1,14.5
17:35:06.153,33,99,0,0,23,0.91,89,22,14.1,14.5
17:35:06.242,33,99,0,0,23,0.91,89,22,14.1,14.5
17:35:06.332,33,99,0,0,23,0.91,89,22,14.1,14.5
17:35:06.422,33,99,0,0,23,0.91,89,22,14.1,14.5
17:35:06.514,33,99,0,0,23,0.91,89,22,14.1,14.5
17:35:06.602,33,99,0,0,23,0.91,89,22,14.1,14.5
17:35:06.692,33,99,0,0,23,0.91,89,22,14.1,14.5
17:35:06.754,33,99,0,0,23,0.91,89,22,14.1,14.5
17:35:06.841,33,99,0,0,23,0.91,89,22,14.1,14.5
17:35:06.904,33,99,0,0,23,0.91,89,22,14.1,14.5
17:35:06.993,33,99,0,0,23,0.91,89,22,14.1,14.5
17:35:07.053,33,99,0,0,23,0.91,89,22,14.1,14.5
17:35:07.142,33,99,0,0,23,0.91,89,22,14.1,14.5
17:35:07.203,33,99,0,0,23,0.91,89,22,14.1,14.5
17:35:07.292,33,99,0,0,23,0.91,89,22,14.1,14.5
17:35:07.353,33,99,0,0,23,0.91,89,22,14.1,14.5
17:35:07.442,33,99,0,0,23,0.91,89,22,14.1,14.5
17:35:07.502,33,99,0,0,23,0.91,89,22,14.1,14.5
17:35:07.591,33,99,0,0,23,0.91,89,22,14.1,14.5
17:35:07.652,33,99,0,0,23,0.91,89,22,14.1,14.5
17:35:07.741,33,99,0,0,23,0.91,89,22,14.1,14.5
17:35:07.802,33,99,0,0,23,0.91,89,22,14.1,14.5
17:35:07.891,33,99,0,0,23,0.91,89,22,14.1,14.5
17:35:07.952,33,99,0,0,23,0.91,89,22,14.1,14.5
17:35:08.042,33,99,0,0,23,0.91,89,22,14.1,14.5
17:35:08.102,33,99,0,0,23,0.91,89,22,14.1,14.5
17:35:08.191,33,99,0,0,23,0.91,89,22,14.1,14.5
17:35:08.341,33,99,0,0,23,0.91,89,22,14.1,14.5
17:35:08.402,33,99,0,0,23,0.91,89,22,14.1,14.5
17:35:08.491,33,99,0,0,23,0.91,89,22,14.1,14.5
17:35:08.552,33,99,0,0,23,0.91,89,22,14.1,14.5
17:35:08.641,33,99,0,0,23,0.91,89,22,14.1,14.5
17:35:08.702,33,99,0,0,23,0.91,89,22,14.1,14.5
17:35:08.791,33,99,0,0,23,0.91,89,22,14.1,14.5
17:35:08.852,33,99,0,0,23,0.91,89,22,14.1,14.5
17:35:08.941,33,99,0,0,23,0.91,89,22,14.1,14.5
17:35:09.003,33,99,0,0,23,0.91,89,22,14.1,14.5
17:35:09.091,33,99,0,0,23,0.91,89,22,14.1,14.5
17:35:09.152,33,99,0,0,23,0.91,89,22,14.1,14.5
17:35:09.241,33,99,0,0,23,0.91,89,22,14.1,14.5
17:35:09.302,33,99,0,0,23,0.91,89,22,14.1,14.5
17:35:09.392,33,99,0,0,23,0.91,89,22,14.1,14.5
17:35:09.453,33,99,0,0,23,0.91,89,22,14.1,14.5
17:35:09.544,33,99,0,0,23,0.91,89,22,14.1,14.5
17:35:09.603,33,99,0,0,23,0.91,89,22,14.1,14.5
17:35:09.692,33,99,0,0,23,0.91,89,22,14.1,14.5
17:35:09.754,33,99,0,0,23,0.91,89,22,14.1,14.5
17:35:09.843,33,99,0,0,23,0.91,89,22,14.1,14.5
17:35:09.908,33,99,0,0,23,0.91,89,22,14.1,14.5
17:35:09.992,33,99,0,0,23,0.91,89,22,14.1,14.5
17:35:10.053,33,99,0,0,23,0.91,89,22,14.1,14.5
17:35:10.142,33,99,0,0,23,0.91,89,22,14.1,14.5
17:35:10.203,33,99,0,0,23,0.91,89,22,14.1,14.5
17:35:10.292,33,99,0,0,23,0.91,89,22,14.1,14.5
17:35:10.353,33,99,0,0,23,0.91,89,22,14.1,14.5
17:35:10.442,33,99,0,0,23,0.91,89,22,14.1,14.5
17:35:10.503,33,99,0,0,23,0.91,89,22,14.1,14.5
17:35:10.592,33,99,0,0,24,0.91,89,22,14.1,14.5
17:35:10.652,33,99,0,0,24,0.91,89,22,14.1,14.5
17:35:10.741,33,99,0,0,24,0.91,89,22,14.1,14.5
17:35:10.802,33,99,0,0,24,0.91,89,22,14.1,14.5
17:35:10.892,33,99,0,0,24,0.91,89,22,14.1,14.5
17:35:10.952,33,99,0,0,24,0.91,89,22,14.1,14.5
17:35:11.042,33,99,0,0,24,0.91,89,22,14.1,14.5
17:35:11.102,33,99,0,0,24,0.91,89,22,14.1,14.5
17:35:11.191,33,99,0,0,24,0.91,89,22,14.1,14.5
17:35:11.252,33,99,0,0,24,0.91,89,22,14.1,14.5
17:35:11.341,33,99,0,0,24,0.91,89,22,14.1,14.5
17:35:11.403,33,99,0,0,24,0.91,89,22,14.1,14.5
17:35:11.491,33,99,0,0,24,0.91,89,22,14.1,14.5
17:35:11.552,33,99,0,0,24,0.91,89,22,14.1,14.5
17:35:11.642,33,99,0,0,24,0.91,89,22,14.1,14.5
17:35:11.702,33,99,0,0,24,0.91,89,22,14.1,14.5
17:35:11.792,33,99,0,0,24,0.91,89,22,14.1,14.5
17:35:11.852,33,99,0,0,24,0.91,89,22,14.1,14.5
17:35:11.941,33,99,0,0,24,0.91,89,22,14.1,14.5
17:35:12.032,33,99,0,0,24,0.91,89,22,14.1,14.5
17:35:12.122,33,99,0,0,24,0.91,89,22,14.1,14.5
17:35:12.211,33,99,0,0,24,0.91,89,22,14.1,14.5
17:35:12.302,33,99,0,0,24,0.91,89,22,14.1,14.5
17:35:12.391,33,99,0,0,24,0.91,89,22,14.1,14.5
17:35:12.453,33,99,0,0,24,0.91,89,22,14.1,14.5
17:35:12.542,33,99,0,0,24,0.91,89,22,14.1,14.5
17:35:12.603,33,99,0,0,24,0.91,89,22,14.1,14.5
17:35:12.692,33,99,0,0,24,0.91,89,22,14.1,14.5
17:35:12.754,33,99,0,0,24,0.91,89,22,14.1,14.5
17:35:12.841,33,99,0,0,24,0.91,89,22,14.1,14.5
17:35:12.902,33,99,0,0,24,0.91,89,22,14.1,14.5
17:35:12.991,33,99,0,0,24,0.91,89,22,14.1,14.5
17:35:13.052,33,99,0,0,24,0.91,89,22,14.1,14.5
17:35:13.142,33,99,0,0,24,0.91,89,22,14.1,14.5
17:35:13.202,33,99,0,0,24,0.91,89,22,14.1,14.5
17:35:13.292,33,99,0,0,24,0.91,89,22,14.1,14.5
17:35:13.352,33,99,0,0,24,0.91,89,22,14.1,14.5
17:35:13.443,33,99,0,0,24,0.91,89,22,14.1,14.5
17:35:13.502,33,99,0,0,24,0.91,89,22,14.1,14.5
17:35:13.591,33,99,0,0,24,0.91,89,22,14.1,14.5
17:35:13.653,33,99,0,0,24,0.91,89,22,14.1,14.5
17:35:13.742,33,99,0,0,24,0.91,89,22,14.1,14.5
17:35:13.808,33,99,0,0,24,0.91,89,22,14.1,14.5
17:35:13.892,33,99,0,0,24,0.91,89,22,14.1,14.5
17:35:13.953,33,99,0,0,24,0.91,89,22,14.1,14.5
17:35:14.042,33,99,0,0,24,0.91,89,22,14.1,14.5
17:35:14.103,33,99,0,0,24,0.91,89,22,14.1,14.5
17:35:14.192,33,99,0,0,24,0.91,89,22,14.1,14.5
17:35:14.253,33,99,0,0,24,0.91,89,22,14.1,14.5
17:35:14.342,33,99,0,0,24,0.91,89,22,14.1,14.5
17:35:14.403,33,99,0,0,24,0.91,89,22,14.1,14.5
17:35:14.494,33,99,0,0,24,0.91,89,22,14.1,14.5
17:35:14.553,33,99,0,0,24,0.91,89,22,14.1,14.5
17:35:14.642,33,99,0,0,24,0.91,89,22,14.1,14.5
17:35:14.703,33,99,0,0,24,0.91,89,22,14.1,14.5
17:35:14.792,33,99,0,0,24,0.91,89,22,14.1,14.1
17:35:14.853,33,99,0,0,24,0.91,89,22,14.1,14.1
17:35:14.942,33,99,0,0,24,0.91,89,22,14.1,14.1
17:35:15.032,33,99,0,0,24,0.91,89,22,14.1,14.1
17:35:15.093,33,99,0,0,24,0.91,89,22,14.1,14.1
17:35:15.153,33,99,0,0,24,0.91,89,22,14.1,14.1
17:35:15.243,33,99,0,0,24,0.91,89,22,14.1,14.1
17:35:15.303,33,99,0,0,24,0.91,89,22,14.1,14.1
17:35:15.392,33,99,0,0,24,0.91,89,22,14.1,14.1
17:35:15.453,33,99,0,0,24,0.91,89,22,14.1,14.1
17:35:15.543,33,99,0,0,24,0.91,89,22,14.1,14.5
17:35:15.603,33,99,0,0,24,0.91,89,22,14.1,14.5
17:35:15.692,33,99,0,0,24,0.91,89,22,14.1,14.5
17:35:15.753,33,99,0,0,24,0.91,89,22,14.1,14.5
17:35:15.842,33,99,0,0,24,0.91,89,22,14.1,14.5
17:35:15.903,33,99,0,0,24,0.91,89,22,14.1,14.5
17:35:15.993,33,99,0,0,24,0.91,89,22,14.1,14.5
17:35:16.052,33,99,0,0,24,0.91,89,22,14.1,14.5
17:35:16.142,33,99,0,0,24,0.91,89,22,14.1,14.5
17:35:16.203,33,99,0,0,24,0.91,89,22,14.1,14.5
17:35:16.292,33,99,0,0,24,0.91,89,22,14.1,14.5
17:35:16.382,33,99,0,0,24,0.91,89,22,14.1,14.5
17:35:16.446,33,99,0,0,24,0.91,89,22,14.1,14.5
17:35:16.502,33,99,0,0,24,0.91,89,22,14.1,14.5
17:35:16.592,33,99,0,0,24,0.91,89,22,14.1,14.5
17:35:16.653,33,99,0,0,24,0.91,89,22,14.1,14.5
17:35:16.742,33,99,0,0,24,0.91,89,22,14.1,14.5
17:35:16.805,33,99,0,0,24,0.91,89,22,14.1,14.5
17:35:16.892,33,99,0,0,24,0.91,89,22,14.1,14.5
17:35:16.982,33,99,0,0,24,0.91,89,22,14.1,14.5
17:35:17.045,33,99,0,0,24,0.91,89,22,14.1,14.5
17:35:17.132,33,99,0,0,24,0.91,89,22,14.1,14.5
17:35:17.194,33,99,0,0,24,0.91,89,22,14.1,14.5
