Time,EngineCoolantTemperature,IntakeManifoldAbsolutePressure,EngineRPM,VehicleSpeedSensor,IntakeAirTemperature,AirFlowRatefromMassFlowSensor,AbsoluteThrottlePosition,AmbientAirTemperature,AcceleratorPedalPositionD,AcceleratorPedalPositionE
17:58:02.288,89,,,,,,,,,
17:58:02.379,89,98,,,,,,,,
17:58:02.469,89,98,770,,,,,,,
17:58:02.529,89,98,770,0,,,,,,
17:58:02.619,89,98,770,0,-13,,,,,
17:58:02.679,89,98,770,0,-13,6.77,,,,
17:58:02.768,89,98,770,0,-13,6.77,83.1,,,
17:58:02.857,89,98,770,0,-13,6.77,83.1,-1,,
17:58:02.918,89,98,770,0,-13,6.77,83.1,-1,14.1,
17:58:02.978,89,98,770,0,-13,6.77,83.1,-1,14.1,14.5
17:58:03.067,89,98,770,0,-13,6.77,83.1,-1,14.1,14.5
17:58:03.128,89,98,770,0,-13,6.77,83.1,-1,14.1,14.5
17:58:03.217,89,98,769,0,-13,6.77,83.1,-1,14.1,14.5
17:58:03.278,89,98,769,0,-13,6.77,83.1,-1,14.1,14.5
17:58:03.367,89,98,769,0,-13,6.77,83.1,-1,14.1,14.5
17:58:03.428,89,98,769,0,-13,6.61,83.1,-1,14.1,14.5
17:58:03.517,89,98,769,0,-13,6.61,83.5,-1,14.1,14.5
17:58:03.607,89,98,769,0,-13,6.61,83.5,-1,14.1,14.5
17:58:03.697,89,98,769,0,-13,6.61,83.5,-1,14.1,14.5
17:58:03.786,89,98,769,0,-13,6.61,83.5,-1,14.1,14.5
17:58:03.876,89,98,769,0,-13,6.61,83.5,-1,14.1,14.5
17:58:03.966,89,98,769,0,-13,6.61,83.5,-1,14.1,14.5
17:58:04.056,89,98,771,0,-13,6.61,83.5,-1,14.1,14.5
17:58:04.117,89,98,771,0,-13,6.61,83.5,-1,14.1,14.5
17:58:04.177,89,98,771,0,-12,6.61,83.5,-1,14.1,14.5
17:58:04.267,89,98,771,0,-12,6.55,83.5,-1,14.1,14.5
17:58:04.329,89,98,771,0,-12,6.55,83.5,-1,14.1,14.5
17:58:04.416,89,98,771,0,-12,6.55,83.5,-1,14.1,14.5
17:58:04.477,89,98,771,0,-12,6.55,83.5,-1,14.1,14.5
17:58:04.566,89,98,771,0,-12,6.55,83.5,-1,14.1,14.5
17:58:04.637,89,98,771,0,-12,6.55,83.5,-1,14.1,14.5
17:58:04.716,89,98,771,0,-12,6.55,83.5,-1,14.1,14.5
17:58:04.806,89,98,772,0,-12,6.55,83.5,-1,14.1,14.5
17:58:05.015,89,98,772,0,-12,6.55,83.5,-1,14.1,14.5
17:58:05.084,89,98,772,0,-11,6.55,83.5,-1,14.1,14.5
17:58:05.165,89,98,772,0,-11,6.58,83.5,-1,14.1,14.5
17:58:05.226,89,98,772,0,-11,6.58,83.5,-1,14.1,14.5
17:58:05.315,89,98,772,0,-11,6.58,83.5,-1,14.1,14.5
17:58:05.377,89,98,772,0,-11,6.58,83.5,-1,14.1,14.5
17:58:05.465,89,98,772,0,-11,6.58,83.5,-1,14.1,14.5
17:58:05.555,89,98,772,0,-11,6.58,83.5,-1,14.1,14.5
17:58:05.645,89,98,772,0,-11,6.58,83.5,-1,14.1,14.5
17:58:05.736,89,98,771,0,-11,6.58,83.5,-1,14.1,14.5
17:58:05.825,89,98,771,0,-11,6.58,83.5,-1,14.1,14.5
17:58:05.915,89,98,771,0,-11,6.58,83.5,-1,14.1,14.5
17:58:06.005,89,98,771,0,-11,6.69,83.5,-1,14.1,14.5
17:58:06.066,89,98,771,0,-11,6.69,83.5,-1,14.1,14.5
17:58:06.126,89,98,771,0,-11,6.69,83.5,-1,14.1,14.5
17:58:06.215,89,98,771,0,-11,6.69,83.5,-1,14.1,14.5
17:58:06.275,89,98,771,0,-11,6.69,83.5,-1,14.1,14.5
17:58:06.364,89,98,771,0,-11,6.69,83.5,-1,14.1,14.5
17:58:06.425,89,98,771,0,-11,6.69,83.5,-1,14.1,14.5
17:58:06.515,89,98,772,0,-11,6.69,83.5,-1,14.1,14.5
17:58:06.575,89,98,772,0,-11,6.69,83.5,-1,14.1,14.5
17:58:06.664,89,98,772,0,-10,6.69,83.5,-1,14.1,14.5
17:58:06.755,89,98,772,0,-10,6.77,83.5,-1,14.1,14.5
17:58:06.845,89,98,772,0,-10,6.77,83.1,-1,14.1,14.5
17:58:06.935,89,98,772,0,-10,6.77,83.1,-1,14.1,14.5
17:58:07.024,89,98,772,0,-10,6.77,83.1,-1,14.1,14.5
17:58:07.119,89,98,772,0,-10,6.77,83.1,-1,14.1,14.5
17:58:07.175,89,98,772,0,-10,6.77,83.1,-1,14.1,14.5
17:58:07.264,89,98,772,0,-10,6.77,83.1,-1,14.1,14.5
17:58:07.325,89,98,770,0,-10,6.77,83.1,-1,14.1,14.5
17:58:07.414,89,98,770,0,-10,6.77,83.1,-1,14.1,14.5
17:58:07.475,89,98,770,0,-10,6.77,83.1,-1,14.1,14.5
17:58:07.564,89,98,770,0,-10,6.74,83.1,-1,14.1,14.5
17:58:07.684,89,98,770,0,-10,6.74,83.5,-1,14.1,14.5
17:58:07.774,89,98,770,0,-10,6.74,83.5,-1,14.1,14.5
17:58:07.864,89,98,770,0,-10,6.74,83.5,-1,14.1,14.5
17:58:07.954,89,98,770,0,-10,6.74,83.5,-1,14.1,14.5
17:58:08.014,89,98,770,0,-10,6.74,83.5,-1,14.1,14.5
17:58:08.074,89,98,770,0,-10,6.74,83.5,-1,14.1,14.5
17:58:08.164,89,98,772,0,-10,6.74,83.5,-1,14.1,14.5
17:58:08.225,89,98,772,0,-10,6.74,83.5,-1,14.1,14.5
17:58:08.314,89,98,772,0,-9,6.74,83.5,-1,14.1,14.5
17:58:08.374,89,98,772,0,-9,6.8,83.5,-1,14.1,14.5
17:58:08.463,89,98,772,0,-9,6.8,83.5,-1,14.1,14.5
17:58:08.525,89,98,772,0,-9,6.8,83.5,0,14.1,14.5
17:58:08.613,89,98,772,0,-9,6.8,83.5,0,14.1,14.5
17:58:08.674,89,98,772,0,-9,6.8,83.5,0,14.1,14.5
17:58:08.763,89,98,772,0,-9,6.8,83.5,0,14.1,14.5
17:58:08.824,89,98,772,0,-9,6.8,83.5,0,14.1,14.5
17:58:08.913,89,98,770,0,-9,6.8,83.5,0,14.1,14.5
17:58:08.974,89,98,770,0,-9,6.8,83.5,0,14.1,14.5
17:58:09.063,89,98,770,0,-9,6.8,83.5,0,14.1,14.5
17:58:09.124,89,98,770,0,-9,6.83,83.5,0,14.1,14.5
17:58:09.213,89,98,770,0,-9,6.83,83.5,0,14.1,14.5
17:58:09.274,89,98,770,0,-9,6.83,83.5,0,14.1,14.5
17:58:09.363,89,98,770,0,-9,6.83,83.5,0,14.1,14.5
17:58:09.426,89,98,770,0,-9,6.83,83.5,0,14.1,14.5
17:58:09.514,89,98,770,0,-9,6.83,83.5,0,14.1,14.5
17:58:09.574,89,98,770,0,-9,6.83,83.5,0,14.1,14.5
17:58:09.663,89,98,770,0,-9,6.83,83.5,0,14.1,14.5
17:58:09.724,89,98,770,0,-9,6.83,83.5,0,14.1,14.5
17:58:09.814,89,98,770,0,-8,6.83,83.5,0,14.1,14.5
17:58:09.878,89,98,770,0,-8,6.61,83.5,0,14.1,14.5
17:58:09.963,89,98,770,0,-8,6.61,83.5,0,14.1,14.5
17:58:10.024,89,98,770,0,-8,6.61,83.5,0,14.1,14.5
17:58:10.112,89,98,770,0,-8,6.61,83.5,0,14.1,14.5
17:58:10.173,89,98,770,0,-8,6.61,83.5,0,14.1,14.5
17:58:10.262,89,98,770,0,-8,6.61,83.5,0,14.1,14.5
17:58:10.323,89,98,770,0,-8,6.61,83.5,0,14.1,14.5
17:58:10.413,89,98,768,0,-8,6.61,83.5,0,14.1,14.5
17:58:10.473,89,98,768,0,-8,6.61,83.5,0,14.1,14.5
17:58:10.562,89,98,768,0,-8,6.61,83.5,0,14.1,14.5
17:58:10.623,89,98,768,0,-8,6.72,83.5,0,14.1,14.5
17:58:10.713,89,98,768,0,-8,6.72,83.5,0,14.1,14.5
17:58:10.773,89,98,768,0,-8,6.72,83.5,0,14.1,14.5
17:58:10.865,89,98,768,0,-8,6.72,83.5,0,14.1,14.5
17:58:10.926,89,98,768,0,-8,6.72,83.5,0,14.1,14.5
17:58:11.013,89,98,768,0,-8,6.72,83.5,0,14.1,14.5
17:58:11.074,89,98,768,0,-8,6.72,83.5,0,14.1,14.5
17:58:11.163,89,98,770,0,-8,6.72,83.5,0,14.1,14.5
17:58:11.223,89,98,770,0,-8,6.72,83.5,0,14.1,14.5
17:58:11.312,89,98,770,0,-7,6.72,83.5,0,14.1,14.5
17:58:11.373,89,98,770,0,-7,6.63,83.5,0,14.1,14.5
17:58:11.462,89,98,770,0,-7,6.63,83.5,0,14.1,14.5
17:58:11.523,89,98,770,0,-7,6.63,83.5,0,14.1,14.5
17:58:11.612,89,98,770,0,-7,6.63,83.5,0,14.1,14.5
17:58:11.673,89,98,770,0,-7,6.63,83.5,0,14.1,15.3
17:58:11.763,89,98,770,0,-7,6.63,83.5,0,14.1,15.3
17:58:11.824,89,98,770,0,-7,6.63,83.5,0,14.1,15.3
17:58:11.912,89,98,769,0,-7,6.63,83.5,0,14.1,15.3
17:58:11.973,89,98,769,0,-7,6.63,83.5,0,14.1,15.3
17:58:12.062,89,98,769,0,-6,6.63,83.5,0,14.1,15.3
17:58:12.122,89,98,769,0,-6,7.02,83.5,0,14.1,15.3
17:58:12.211,89,98,769,0,-6,7.02,83.5,0,14.1,15.3
17:58:12.272,89,98,769,0,-6,7.02,83.5,0,14.1,15.3
17:58:12.362,89,98,769,0,-6,7.02,83.5,0,18,15.3
17:58:12.422,89,98,769,0,-6,7.02,83.5,0,18,18
17:58:12.512,89,98,769,0,-6,7.02,83.5,0,18,18
17:58:12.572,89,99,769,0,-6,7.02,83.5,0,18,18
17:58:12.662,89,99,893,0,-6,7.02,83.5,0,18,18
17:58:12.724,89,99,893,0,-6,7.02,83.5,0,18,18
17:58:12.812,89,99,893,0,-5,7.02,83.5,0,18,18
17:58:12.874,89,99,893,0,-5,9.05,83.5,0,18,18
17:58:12.991,89,99,893,0,-5,9.05,83.5,0,18,18
17:58:13.081,89,99,893,0,-5,9.05,83.5,0,18,18
17:58:13.171,89,99,893,0,-5,9.05,83.5,0,20,18
17:58:13.263,89,99,893,0,-5,9.05,83.5,0,20,19.6
17:58:13.381,89,99,893,0,-5,9.05,83.5,0,20,19.6
17:58:13.471,89,101,893,0,-5,9.05,83.5,0,20,19.6
17:58:13.561,89,101,1038,0,-5,9.05,83.5,0,20,19.6
17:58:13.622,89,101,1038,0,-5,9.05,83.5,0,20,19.6
17:58:13.712,89,101,1038,0,-2,9.05,83.5,0,20,19.6
17:58:13.772,89,101,1038,0,-2,7.02,83.5,0,20,19.6
17:58:13.861,89,101,1038,0,-2,7.02,83.5,0,20,19.6
17:58:13.922,89,101,1038,0,-2,7.02,83.5,0,20,19.6
17:58:14.011,89,101,1038,0,-2,7.02,83.5,0,16.9,19.6
17:58:14.071,89,101,1038,0,-2,7.02,83.5,0,16.9,16.9
17:58:14.160,89,101,1038,0,-2,7.02,83.5,0,16.9,16.9
17:58:14.222,89,103,1038,0,-2,7.02,83.5,0,16.9,16.9
17:58:14.311,89,103,938,0,-2,7.02,83.5,0,16.9,16.9
17:58:14.401,89,103,938,0,-2,7.02,83.5,0,16.9,16.9
17:58:14.462,89,103,938,0,-4,7.02,83.5,0,16.9,16.9
17:58:14.522,89,103,938,0,-4,8.8,83.5,0,16.9,16.9
17:58:14.611,89,103,938,0,-4,8.8,83.5,0,16.9,16.9
17:58:14.672,89,103,938,0,-4,8.8,83.5,0,16.9,16.9
17:58:14.761,89,103,938,0,-4,8.8,83.5,0,17.3,16.9
17:58:14.823,89,103,938,0,-4,8.8,83.5,0,17.3,16.5
17:58:14.912,88,103,938,0,-4,8.8,83.5,0,17.3,16.5
17:58:14.974,88,103,938,0,-4,8.8,83.5,0,17.3,16.5
17:58:15.061,88,103,1007,0,-4,8.8,83.5,0,17.3,16.5
17:58:15.121,88,103,1007,1,-4,8.8,83.5,0,17.3,16.5
17:58:15.210,88,103,1007,1,-1,8.8,83.5,0,17.3,16.5
17:58:15.272,88,103,1007,1,-1,8.11,83.5,0,17.3,16.5
17:58:15.361,88,103,1007,1,-1,8.11,83.5,0,17.3,16.5
17:58:15.423,88,103,1007,1,-1,8.11,83.5,0,17.3,16.5
17:58:15.540,88,103,1007,1,-1,8.11,83.5,0,15.7,16.5
17:58:15.630,88,103,1007,1,-1,8.11,83.5,0,15.7,15.3
17:58:15.720,88,103,1007,1,-1,8.11,83.5,0,15.7,15.3
17:58:15.811,88,103,1007,1,-1,8.11,83.5,0,15.7,15.3
