Time,EngineCoolantTemperature,IntakeManifoldAbsolutePressure,EngineRPM,VehicleSpeedSensor,IntakeAirTemperature,AirFlowRatefromMassFlowSensor,AbsoluteThrottlePosition,AmbientAirTemperature,AcceleratorPedalPositionD,AcceleratorPedalPositionE
17:27:02.010,87,,,,,,,,,
17:27:02.099,87,97,,,,,,,,
17:27:02.220,87,97,769,,,,,,,
17:27:02.309,87,97,769,0,,,,,,
17:27:02.400,87,97,769,0,12,,,,,
17:27:02.493,87,97,769,0,12,6.88,,,,
17:27:02.579,87,97,769,0,12,6.88,83.1,,,
17:27:02.670,87,97,769,0,12,6.88,83.1,1,,
17:27:22.420,87,97,769,0,12,6.88,83.1,1,,14.5
17:27:22.499,87,97,769,0,12,6.88,83.1,1,,14.5
17:27:22.589,87,97,769,0,12,6.88,83.1,1,,14.5
17:27:22.713,87,97,769,0,12,6.88,83.1,1,,14.5
17:27:22.800,87,97,769,0,12,6.88,83.1,1,,14.5
17:27:22.890,87,97,769,0,16,6.88,83.1,1,,14.5
17:27:22.979,87,97,769,0,16,6.61,83.1,1,,14.5
17:27:23.069,87,97,769,0,16,6.61,83.1,1,,14.5
17:27:23.159,87,97,769,0,16,6.61,83.1,1,,14.5
17:27:23.249,87,97,769,0,16,6.61,83.1,1,14.1,14.5
17:27:23.339,87,97,769,0,16,6.61,83.1,1,14.1,14.5
17:27:23.430,87,97,769,0,16,6.61,83.1,1,14.1,14.5
17:27:23.521,87,97,769,0,16,6.61,83.1,1,14.1,14.5
17:27:23.610,87,97,770,0,16,6.61,83.1,1,14.1,14.5
17:27:23.699,87,97,770,0,16,6.61,83.1,1,14.1,14.5
17:27:23.801,87,97,770,0,16,6.61,83.1,1,14.1,14.5
17:27:23.879,87,97,770,0,16,6.69,83.1,1,14.1,14.5
17:27:23.970,87,97,770,0,16,6.69,83.1,1,14.1,14.5
17:27:24.060,87,97,770,0,16,6.69,83.1,1,14.1,14.5
17:27:24.149,87,97,770,0,16,6.69,83.1,1,14.1,14.5
17:27:24.239,87,97,770,0,16,6.69,83.1,1,14.1,14.5
17:27:24.329,87,97,770,0,16,6.69,83.1,1,14.1,14.5
17:27:24.419,87,97,770,0,16,6.69,83.1,1,14.1,14.5
17:27:24.510,87,97,771,0,16,6.69,83.1,1,14.1,14.5
17:27:24.599,87,97,771,0,16,6.69,83.1,1,14.1,14.5
17:27:24.720,87,97,771,0,17,6.69,83.1,1,14.1,14.5
17:27:24.809,87,97,771,0,17,6.72,83.1,1,14.1,14.5
17:27:24.899,87,97,771,0,17,6.72,83.1,1,14.1,14.5
17:27:24.990,87,97,771,0,17,6.72,83.1,1,14.1,14.5
17:27:25.079,87,97,771,0,17,6.72,83.1,1,14.1,14.5
17:27:25.169,87,97,771,0,17,6.72,83.1,1,14.1,14.5
17:27:25.260,87,97,771,0,17,6.72,83.1,1,14.1,14.5
17:27:25.350,87,97,771,0,17,6.72,83.1,1,14.1,14.5
17:27:25.440,87,97,768,0,17,6.72,83.1,1,14.1,14.5
17:27:25.530,87,97,768,0,17,6.72,83.1,1,14.1,14.5
17:27:25.620,87,97,768,0,17,6.72,83.1,1,14.1,14.5
17:27:25.710,87,97,768,0,17,6.61,83.1,1,14.1,14.5
17:27:25.801,87,97,768,0,17,6.61,83.1,1,14.1,14.5
17:27:25.891,87,97,768,0,17,6.61,83.1,1,14.1,14.5
17:27:25.981,87,97,768,0,17,6.61,83.1,1,14.1,14.5
17:27:26.071,87,97,768,0,17,6.61,83.1,1,14.1,14.5
17:27:26.160,87,97,768,0,17,6.61,83.1,1,14.1,14.5
17:27:26.251,87,97,768,0,17,6.61,83.1,1,14.1,14.5
17:27:26.340,87,97,770,0,17,6.61,83.1,1,14.1,14.5
17:27:26.430,87,97,770,0,17,6.61,83.1,1,14.1,14.5
17:27:26.520,87,97,770,0,17,6.61,83.1,1,14.1,14.5
