Time,EngineCoolantTemperature,IntakeManifoldAbsolutePressure,EngineRPM,VehicleSpeedSensor,IntakeAirTemperature,AirFlowRatefromMassFlowSensor,AbsoluteThrottlePosition,AmbientAirTemperature,AcceleratorPedalPositionD,AcceleratorPedalPositionE
07:15:55.513,,,,0,,,,,,
07:15:55.572,,,,0,-8,,,,,
07:15:55.664,,,,0,-8,0.86,,,,
07:15:55.809,,,,0,-8,0.86,88.6,,,
07:15:55.930,,,,0,-8,0.86,88.6,-9,,
07:15:56.019,,,,0,-8,0.86,88.6,-9,14.1,
07:15:56.109,,,,0,-8,0.86,88.6,-9,14.1,14.5
07:15:56.199,69,,,0,-8,0.86,88.6,-9,14.1,14.5
07:15:56.319,69,98,,0,-8,0.86,88.6,-9,14.1,14.5
07:15:56.439,69,98,0,0,-8,0.86,88.6,-9,14.1,14.5
07:15:56.529,69,98,0,0,-8,0.86,88.6,-9,14.1,14.5
07:15:56.620,69,98,0,0,-7,0.86,88.6,-9,14.1,14.5
07:15:56.709,69,98,0,0,-7,0.86,88.6,-9,14.1,14.5
07:15:56.799,69,98,0,0,-7,0.86,88.6,-9,14.1,14.5
07:15:56.889,69,98,0,0,-7,0.86,88.6,-9,14.1,14.5
07:15:56.979,69,98,0,0,-7,0.86,88.6,-9,14.1,14.5
07:15:57.069,69,98,0,0,-7,0.86,88.6,-9,14.1,14.5
07:15:57.159,68,98,0,0,-7,0.86,88.6,-9,14.1,14.5
07:15:57.249,68,98,0,0,-7,0.86,88.6,-9,14.1,14.5
07:15:57.340,68,98,0,0,-7,0.86,88.6,-9,14.1,14.5
07:15:57.429,68,98,0,0,-7,0.86,88.6,-9,14.1,14.5
07:15:57.525,68,98,0,0,-7,0.86,88.6,-9,14.1,14.5
07:15:57.609,68,98,0,0,-7,0.86,88.6,-9,14.1,14.5
07:15:57.699,68,98,0,0,-7,0.86,88.6,-9,14.1,14.5
07:15:57.789,68,98,0,0,-7,0.86,88.6,-9,14.1,14.5
07:15:57.908,68,98,0,0,-7,0.86,88.6,-9,14.1,14.5
07:15:57.999,68,98,0,0,-7,0.86,88.6,-9,14.1,14.5
07:15:58.089,68,98,0,0,-7,0.86,88.6,-9,14.1,14.5
07:15:58.179,68,98,0,0,-7,0.86,88.6,-9,14.1,14.5
07:15:58.269,68,98,0,0,-7,0.86,88.6,-9,14.1,14.5
07:15:58.359,68,98,0,0,-7,0.86,88.6,-9,14.1,14.5
07:15:58.449,68,98,0,0,-7,0.86,88.6,-9,14.1,14.5
07:15:58.539,68,98,0,0,-7,0.86,88.6,-9,14.1,14.5
07:15:58.629,68,98,0,0,-7,0.86,88.6,-9,14.1,14.5
07:15:58.719,68,98,0,0,-7,0.86,88.6,-9,14.1,14.5
07:15:58.838,68,98,0,0,-7,0.86,88.6,-9,14.1,14.5
07:15:58.929,68,98,0,0,-7,0.86,88.6,-9,14.1,14.5
07:15:59.019,68,98,0,0,-7,0.86,88.6,-9,14.1,14.5
07:15:59.109,68,98,0,0,-7,0.86,88.6,-9,14.1,14.5
07:15:59.199,68,98,0,0,-7,0.86,88.6,-9,14.1,14.5
07:15:59.289,68,98,0,0,-7,0.86,88.6,-9,14.1,14.5
07:15:59.378,68,98,0,0,-7,0.86,88.6,-9,14.1,14.5
07:15:59.471,68,98,0,0,-7,0.86,88.6,-9,14.1,14.5
07:15:59.558,68,98,0,0,-7,0.86,88.6,-9,14.1,14.5
07:15:59.648,68,98,0,0,-7,0.86,88.6,-9,14.1,14.5
07:15:59.739,68,98,0,0,-7,0.86,88.6,-9,14.1,14.5
07:15:59.829,68,98,0,0,-7,0.86,88.6,-9,14.1,14.5
07:15:59.919,68,98,0,0,-7,0.86,88.6,-9,14.1,14.5
07:16:00.009,68,98,0,0,-7,0.86,88.6,-9,14.1,14.5
07:16:00.101,68,98,0,0,-7,0.86,88.6,-9,14.1,14.5
07:16:00.188,68,98,0,0,-7,0.86,88.6,-9,14.1,14.5
07:16:00.278,68,98,0,0,-7,0.86,88.6,-9,14.1,14.5
07:16:00.370,68,98,0,0,-7,0.86,88.6,-9,14.1,14.5
07:16:00.459,68,98,0,0,-7,0.86,88.6,-9,14.1,14.5
07:16:00.548,68,98,0,0,-7,0.86,88.6,-9,14.1,14.5
07:16:00.639,68,98,0,0,-7,0.86,88.6,-9,14.1,14.5
07:16:00.729,68,98,0,0,-7,0.86,88.6,-9,14.1,14.5
07:16:00.818,68,98,0,0,-7,0.86,88.6,-9,14.1,14.5
07:16:00.909,68,98,0,0,-7,0.86,88.6,-9,14.1,14.5
07:16:00.998,68,98,0,0,-7,0.86,88.6,-9,14.1,14.5
07:16:01.088,68,98,0,0,-7,0.86,88.6,-9,14.1,14.5
07:16:01.179,68,98,0,0,-7,0.86,88.6,-9,14.1,14.5
07:16:01.268,68,98,0,0,-7,0.86,88.6,-9,14.1,14.5
07:16:01.359,68,98,0,0,-7,0.86,88.6,-9,14.1,14.5
07:16:01.449,68,98,0,0,-7,0.86,88.6,-9,14.1,14.5
07:16:01.538,68,98,0,0,-7,0.86,88.6,-9,14.1,14.5
07:16:01.628,68,98,0,0,-7,0.86,88.6,-9,14.1,14.5
07:16:01.718,68,98,0,0,-7,0.86,88.6,-9,14.1,14.5
07:16:01.809,68,98,0,0,-7,0.86,88.6,-9,14.1,14.5
07:16:01.898,68,98,0,0,-7,0.86,88.6,-9,14.1,14.5
07:16:01.989,68,98,0,0,-7,0.86,88.6,-9,14.1,14.5
07:16:02.078,68,98,0,0,-7,0.86,88.6,-9,14.1,14.5
07:16:02.168,68,98,0,0,-7,0.86,88.6,-9,14.1,14.5
07:16:02.259,68,98,0,0,-7,0.86,88.6,-9,14.1,14.5
07:16:02.348,68,98,0,0,-7,0.86,88.6,-9,14.1,14.5
07:16:02.438,68,98,0,0,-7,0.86,88.6,-9,14.1,14.5
07:16:02.528,68,98,0,0,-7,0.86,88.6,-9,14.1,14.5
07:16:02.619,68,98,0,0,-7,0.86,88.6,-9,14.1,14.5
07:16:02.708,68,98,0,0,-7,0.86,88.6,-9,14.1,14.5
07:16:02.798,68,98,0,0,-7,0.86,88.6,-9,14.1,14.5
07:16:02.889,68,98,0,0,-7,0.86,88.6,-9,14.1,14.5
07:16:02.978,68,98,0,0,-7,0.86,88.6,-9,14.1,14.5
07:16:03.071,68,98,0,0,-7,3.41,88.6,-9,14.1,14.5
07:16:03.158,68,98,0,0,-7,3.41,88.6,-9,14.1,14.5
07:16:03.249,68,98,0,0,-7,3.41,88.6,-9,14.1,14.5
07:16:03.338,68,98,0,0,-7,3.41,88.6,-9,14.1,14.5
07:16:03.428,68,98,0,0,-7,3.41,88.6,-9,14.1,14.5
07:16:03.518,67,98,0,0,-7,3.41,88.6,-9,14.1,14.5
07:16:03.608,67,96,0,0,-7,3.41,88.6,-9,14.1,14.5
07:16:03.698,67,96,999,0,-7,3.41,88.6,-9,14.1,14.5
07:16:03.788,67,96,999,0,-7,3.41,88.6,-9,14.1,14.5
07:16:03.878,67,96,999,0,4,3.41,88.6,-9,14.1,14.5
07:16:03.968,67,96,999,0,4,5.74,88.6,-9,14.1,14.5
07:16:04.058,67,96,999,0,4,5.74,83.1,-9,14.1,14.5
07:16:04.149,67,96,999,0,4,5.74,83.1,-9,14.1,14.5
07:16:04.238,67,96,999,0,4,5.74,83.1,-9,14.1,14.5
07:16:04.358,67,96,999,0,4,5.74,83.1,-9,14.1,14.5
07:16:04.450,67,96,999,0,4,5.74,83.1,-9,14.1,14.5
07:16:04.557,67,98,999,0,4,5.74,83.1,-9,14.1,14.5
07:16:04.658,67,98,827,0,4,5.74,83.1,-9,14.1,14.5
07:16:04.750,67,98,827,0,4,5.74,83.1,-9,14.1,14.5
07:16:04.838,67,98,827,0,3,5.74,83.1,-9,14.1,14.5
