Time,EngineCoolantTemperature,IntakeManifoldAbsolutePressure,EngineRPM,VehicleSpeedSensor,IntakeAirTemperature,AirFlowRatefromMassFlowSensor,AbsoluteThrottlePosition,AmbientAirTemperature,AcceleratorPedalPositionD,AcceleratorPedalPositionE
18:23:43.446,12,,,,,,,,,
18:23:43.507,12,102,,,,,,,,
18:23:43.597,12,102,941,,,,,,,
18:23:43.657,12,102,941,0,,,,,,
18:23:43.747,12,102,941,0,10,,,,,
18:23:43.837,12,102,941,0,10,16.88,,,,
18:23:43.898,12,102,941,0,10,16.88,83.5,,,
18:23:43.958,12,102,941,0,10,16.88,83.5,6,,
18:23:44.046,12,102,941,0,10,16.88,83.5,6,14.1,
18:23:44.107,12,102,941,0,10,16.88,83.5,6,14.1,14.1
18:23:44.197,12,102,941,0,10,16.88,83.5,6,14.1,14.1
18:23:44.258,12,102,941,0,10,16.88,83.5,6,14.1,14.1
18:23:44.347,12,102,941,0,10,16.88,83.5,6,14.1,14.1
18:23:44.408,12,102,941,0,10,16.88,83.5,6,14.1,14.1
18:23:44.497,12,102,941,0,10,16.88,83.5,6,14.1,14.1
18:23:44.558,12,102,941,0,10,16.61,83.5,6,14.1,14.1
18:23:44.647,12,102,941,0,10,16.61,83.5,6,14.1,14.1
18:23:44.707,12,102,941,0,10,16.61,83.5,6,14.1,14.1
18:23:44.797,12,102,941,0,10,16.61,83.5,6,14.1,14.1
18:23:44.858,12,102,941,0,10,16.61,83.5,6,14.1,14.5
18:23:44.947,12,102,941,0,10,16.61,83.5,6,14.1,14.5
18:23:45.007,12,102,941,0,10,16.61,83.5,6,14.1,14.5
18:23:45.097,12,102,940,0,10,16.61,83.5,6,14.1,14.5
18:23:45.158,12,102,940,0,10,16.61,83.5,6,14.1,14.5
18:23:45.246,12,102,940,0,10,16.61,83.5,6,14.1,14.5
18:23:45.307,12,102,940,0,10,16.61,83.5,6,14.1,14.5
18:23:45.396,12,102,940,0,10,16.61,83.5,6,14.1,14.5
18:23:45.458,12,102,940,0,10,16.61,83.5,6,14.1,14.5
18:23:45.547,12,102,940,0,10,16.61,83.5,6,14.1,14.5
18:23:45.608,12,102,940,0,10,16.61,83.5,6,14.1,14.5
18:23:45.697,12,102,940,0,10,16.61,83.5,6,14.1,14.5
18:23:45.758,12,102,940,0,10,16.61,83.5,6,14.1,14.5
18:23:45.846,12,102,939,0,10,16.61,83.5,6,14.1,14.5
18:23:45.908,12,102,939,0,10,16.61,83.5,6,14.1,14.5
18:23:45.996,12,102,939,0,10,16.61,83.5,6,14.1,14.5
18:23:46.087,12,102,939,0,10,16.69,83.5,6,14.1,14.5
18:23:46.147,12,102,939,0,10,16.69,83.5,6,14.1,14.5
18:23:46.237,12,102,939,0,10,16.69,83.5,6,14.1,14.5
18:23:46.298,12,102,939,0,10,16.69,83.5,6,14.1,14.5
18:23:46.387,12,102,939,0,10,16.69,83.5,6,14.1,14.5
18:23:46.477,12,102,939,0,10,16.69,83.5,6,14.1,14.5
18:23:46.567,12,102,939,0,10,16.69,83.5,6,14.1,14.5
18:23:46.656,12,102,941,0,10,16.69,83.5,6,14.1,14.5
18:23:46.746,12,102,941,0,10,16.69,83.5,6,14.1,14.5
18:23:46.837,12,102,941,0,10,16.69,83.5,6,14.1,14.5
