Time,EngineCoolantTemperature,IntakeManifoldAbsolutePressure,EngineRPM,VehicleSpeedSensor,IntakeAirTemperature,AirFlowRatefromMassFlowSensor,AbsoluteThrottlePosition,AmbientAirTemperature,AcceleratorPedalPositionD,AcceleratorPedalPositionE
19:23:35.459,18,,,,,,,,,
19:23:35.578,18,101,,,,,,,,
19:23:35.728,18,101,899,,,,,,,
19:23:35.878,18,101,899,0,,,,,,
19:23:36.028,18,101,899,0,13,,,,,
19:23:36.177,18,101,899,0,13,15.55,,,,
19:23:36.328,18,101,899,0,13,15.55,83.1,,,
19:23:36.478,18,101,899,0,13,15.55,83.1,7,,
19:23:36.627,18,101,899,0,13,15.55,83.1,7,14.1,
19:23:36.778,18,101,899,0,13,15.55,83.1,7,14.1,14.5
19:23:36.928,18,101,899,0,13,15.55,83.1,7,14.1,14.5
19:23:37.078,18,101,899,0,13,15.55,83.1,7,14.1,14.5
19:23:37.228,18,101,899,0,13,15.55,83.1,7,14.1,14.5
19:23:37.378,18,101,899,0,13,15.55,83.1,7,14.1,14.5
19:23:37.528,18,101,899,0,13,15.55,83.1,7,14.1,14.5
19:23:37.678,18,101,899,0,13,15.49,83.1,7,14.1,14.5
19:23:37.827,18,101,899,0,13,15.49,83.1,7,14.1,14.5
19:23:37.978,18,101,899,0,13,15.49,83.1,7,14.1,14.5
19:23:38.127,18,101,899,0,13,15.49,83.1,7,14.1,14.5
19:23:38.278,18,101,899,0,13,15.49,83.1,7,14.1,14.5
19:23:38.427,18,101,899,0,13,15.49,83.1,7,14.1,14.5
19:23:38.578,18,101,899,0,13,15.49,83.1,7,14.1,14.5
19:23:38.728,18,101,898,0,13,15.49,83.1,7,14.1,14.5
19:23:38.877,18,101,898,0,13,15.49,83.1,7,14.1,14.5
19:23:39.027,18,101,898,0,13,15.49,83.1,7,14.1,14.5
19:23:39.177,18,101,898,0,13,15.61,83.1,7,14.1,14.5
19:23:39.327,18,101,898,0,13,15.61,83.1,7,14.1,14.5
19:23:39.477,18,101,898,0,13,15.61,83.1,7,14.1,14.5
19:23:39.628,18,101,898,0,13,15.61,83.1,7,16.9,14.5
19:23:39.777,18,101,898,0,13,15.61,83.1,7,16.9,16.9
19:23:39.927,18,101,898,0,13,15.61,83.1,7,16.9,16.9
19:23:40.077,18,101,898,0,13,15.61,83.1,7,16.9,16.9
19:23:40.227,18,101,887,0,13,15.61,83.1,7,16.9,16.9
19:23:40.378,18,101,887,1,13,15.61,83.1,7,16.9,16.9
19:23:40.527,18,101,887,1,13,15.61,83.1,7,16.9,16.9
19:23:40.677,18,101,887,1,13,15.22,83.1,7,16.9,16.9
19:23:40.827,18,101,887,1,13,15.22,83.1,7,16.9,16.9
19:23:40.977,18,101,887,1,13,15.22,83.1,7,16.9,16.9
19:23:41.127,18,101,887,1,13,15.22,83.1,7,18.4,16.9
19:23:41.277,18,101,887,1,13,15.22,83.1,7,18.4,18
19:23:41.427,18,101,887,1,13,15.22,83.1,7,18.4,18
19:23:41.518,18,102,887,1,13,15.22,83.1,7,18.4,18
19:23:41.607,18,102,990,1,13,15.22,83.1,7,18.4,18
19:23:41.697,18,102,990,9,13,15.22,83.1,7,18.4,18
19:23:41.788,18,102,990,9,13,15.22,83.1,7,18.4,18
19:23:41.877,18,102,990,9,13,19.8,83.1,7,18.4,18
19:23:41.967,18,102,990,9,13,19.8,83.1,7,18.4,18
19:23:42.057,18,102,990,9,13,19.8,83.1,7,18.4,18
19:23:42.147,18,102,990,9,13,19.8,83.1,7,27.8,18
19:23:42.237,18,102,990,9,13,19.8,83.1,7,27.8,28.2
19:23:42.327,19,102,990,9,13,19.8,83.1,7,27.8,28.2
19:23:42.418,19,108,990,9,13,19.8,83.1,7,27.8,28.2
19:23:42.508,19,108,1438,9,13,19.8,83.1,7,27.8,28.2
19:23:42.597,19,108,1438,13,13,19.8,83.1,7,27.8,28.2
19:23:42.687,19,108,1438,13,13,19.8,83.1,7,27.8,28.2
19:23:42.777,19,108,1438,13,13,30.99,83.1,7,27.8,28.2
19:23:42.867,19,108,1438,13,13,30.99,83.1,7,27.8,28.2
19:23:42.957,19,108,1438,13,13,30.99,83.1,7,27.8,28.2
19:23:43.047,19,108,1438,13,13,30.99,83.1,7,40.4,28.2
19:23:43.138,19,108,1438,13,13,30.99,83.1,7,40.4,42
19:23:43.227,19,108,1438,13,13,30.99,83.1,7,40.4,42
19:23:43.317,19,128,1438,13,13,30.99,83.1,7,40.4,42
19:23:43.407,19,128,1789,13,13,30.99,83.1,7,40.4,42
19:23:43.497,19,128,1789,16,13,30.99,83.1,7,40.4,42
19:23:43.587,19,128,1789,16,15,30.99,83.1,7,40.4,42
19:23:43.677,19,128,1789,16,15,43.83,83.1,7,40.4,42
19:23:43.767,19,128,1789,16,15,43.83,83.1,7,40.4,42
19:23:43.857,19,128,1789,16,15,43.83,83.1,7,40.4,42
19:23:43.948,19,128,1789,16,15,43.83,83.1,7,42.7,42
19:23:44.037,19,128,1789,16,15,43.83,83.1,7,42.7,43.1
19:23:44.127,19,128,1789,16,15,43.83,83.1,7,42.7,43.1
19:23:44.219,19,133,1789,16,15,43.83,83.1,7,42.7,43.1
19:23:44.307,19,133,2076,16,15,43.83,83.1,7,42.7,43.1
19:23:44.397,19,133,2076,18,15,43.83,83.1,7,42.7,43.1
19:23:44.487,19,133,2076,18,18,43.83,83.1,7,42.7,43.1
19:23:44.577,19,133,2076,18,18,42.16,83.1,7,42.7,43.1
19:23:44.668,19,133,2076,18,18,42.16,43.9,7,42.7,43.1
19:23:44.757,19,133,2076,18,18,42.16,43.9,7,42.7,43.1
19:23:44.847,19,133,2076,18,18,42.16,43.9,7,14.1,43.1
19:23:44.937,19,133,2076,18,18,42.16,43.9,7,14.1,16.9
19:23:45.027,19,133,2076,18,18,42.16,43.9,7,14.1,16.9
19:23:45.117,19,97,2076,18,18,42.16,43.9,7,14.1,16.9
19:23:45.207,19,97,1428,18,18,42.16,43.9,7,14.1,16.9
19:23:45.297,19,97,1428,16,18,42.16,43.9,7,14.1,16.9
19:23:45.388,19,97,1428,16,15,42.16,43.9,7,14.1,16.9
19:23:45.477,19,97,1428,16,15,25.13,43.9,7,14.1,16.9
19:23:45.567,19,97,1428,16,15,25.13,83.1,7,14.1,16.9
19:23:45.657,19,97,1428,16,15,25.13,83.1,7,14.1,16.9
19:23:45.747,19,97,1428,16,15,25.13,83.1,7,41.6,16.9
19:23:45.837,19,97,1428,16,15,25.13,83.1,7,41.6,42.4
19:23:45.927,19,97,1428,16,15,25.13,83.1,7,41.6,42.4
19:23:46.018,19,116,1428,16,15,25.13,83.1,7,41.6,42.4
19:23:46.108,19,116,1158,16,15,25.13,83.1,7,41.6,42.4
19:23:46.197,19,116,1158,20,15,25.13,83.1,7,41.6,42.4
19:23:46.287,19,116,1158,20,13,25.13,83.1,7,41.6,42.4
19:23:46.377,19,116,1158,20,13,24.49,83.1,7,41.6,42.4
